educ,economycode,pop_adult,wgt,female,age,inc_q,emp_in,urbanicity,account,borrowed,saved,receive_wages,receive_transfers,receive_pensions,pay_utilities,fin19,fin22a,fin24a,fin24c,fh2a,fh1,fh2,fin37,fin38,fin42,internet_use,con1,Income group
2.0,NIC,4830854,0.152121009780903,1,35,5.0,1.0,2.0,0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,SEN,11094279,0.231656120615034,1,27,2.0,1.0,1.0,1,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1,Lower middle income
1.0,PER,25601447,1.02080627514975,2,55,5.0,1.0,2.0,0,1.0,0.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,BWA,1679590,2.17518788081938,1,48,2.0,2.0,1.0,0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,Upper middle income
2.0,LBY,5262910,0.939361888694604,2,19,1.0,1.0,2.0,1,1.0,1.0,,,,,2.0,2.0,2.0,2.0,,,,,,,1,1,Upper middle income
3.0,GAB,1573811,0.199752250972141,2,32,5.0,2.0,2.0,1,1.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,ETH,78031387,0.319733833202896,1,48,4.0,2.0,1.0,1,1.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,1,Low income
1.0,MUS,1070318,3.89491267467864,2,47,1.0,2.0,1.0,1,0.0,0.0,,,,,2.0,2.0,2.0,3.0,,,,,,,1,1,Upper middle income
1.0,SLV,4718943,1.32411790905022,1,29,4.0,2.0,1.0,0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
2.0,BGD,122837439,1.14106859515931,1,35,1.0,2.0,1.0,0,1.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0,1,Lower middle income
2.0,MEX,97411242,0.547434298416571,2,28,5.0,1.0,1.0,1,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,GEO,2933716,0.943918102259667,1,32,1.0,2.0,1.0,0,1.0,0.0,4.0,4.0,4.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,Upper middle income
